"id","term","category","weight"
"143","panties","LABEL","0.0000259166167865"
"144","aunt's","LABEL","0.00000110402884029"
"145","worker","LABEL","-0.00000169999938088"
"146","crazyy","LABEL","0.000000167256672971"
"147","rollers","LABEL","-0.00000177369374042"
"148","ruled","LABEL","0.00000239174669373"
"149","playstation","LABEL","0.000000330831709881"
"150","wud","LABEL","0.0000110545239084"
"151","explaining","LABEL","0.00000040121987386"
"152","wonderin","LABEL","0.0000000472029063353"
"153","forward","LABEL","-0.0000360701143234"
"154","turnovers","LABEL","0.000000757027277668"
"155","miranda","LABEL","-0.0000021602800943"
"156","convicted","LABEL","-0.000000498935462932"
"157","royal","LABEL","-0.0000106812820518"
"158","navy","LABEL","-0.0000132510459245"
"159","kiddos","LABEL","-0.000000833221284998"
"160","#teamfollowback","LABEL","-0.0000110697893344"
"161","murray","LABEL","-0.0000103082972398"
"162","jalapeño","LABEL","0.00000220639479902"
"163","bladder","LABEL","-0.00000182677287629"
"164","slightly","LABEL","0.00000340453292508"
"165","lightning","LABEL","-0.000000925706122418"
"166","walked","LABEL","-0.0000149251441871"
"167","periods","LABEL","-0.00000262375999029"
"168","penises","LABEL","-0.000000674026549373"
"169","typed","LABEL","0.00000562286213828"
"170","casting","LABEL","-0.00000378041561493"
"171","insight","LABEL","-0.0000096545758667"
"172","disease","LABEL","-0.00000327232591591"
"173","whine","LABEL","0.00000197731651512"
"174","southwest","LABEL","0.00000188087803635"
"175","kensington","LABEL","-0.000000439780373372"
"176","#whoa","LABEL","-0.000000127850420218"
"177","villains","LABEL","0.0000000310817905425"
"178","hey","LABEL","-0.000272107812185"
"179","______","LABEL","-0.00000266958838172"
"180","splinter","LABEL","0.00000130335509068"
"181",");","LABEL","-0.00000722837895125"
"182","baller","LABEL","0.0000011883978989"
"183","#bullshit","LABEL","0.00000410154437686"
"184","extent","LABEL","0.000000221916830233"
"185","spiritually","LABEL","-0.0000013821057274"
"186","#fuckthis","LABEL","0.00000218253148135"
"187","bred","LABEL","0.00000165514755813"
"188","hughes","LABEL","0.000000613487755804"
"189","morris","LABEL","-0.00000185988401641"
"190","meat","LABEL","-0.00000693303191933"
"191","glitter","LABEL","0.00000205898007236"
"192","spencer","LABEL","-0.00000824001169096"
"193","trump","LABEL","-0.0000102046175552"
"194","uploading","LABEL","-0.00000379092374517"
"195","protect","LABEL","0.00000542929000204"
"196","jacuzzi","LABEL","0.00000204301610896"
"197","#graduation","LABEL","-0.00000169168463154"
"198","remind","LABEL","0.0000147248886143"
"199","causing","LABEL","0.000000462160961509"
"200","mumford","LABEL","-0.00000448333977851"
"201","dmv","LABEL","0.00000105653203575"
"202","amusing","LABEL","-0.00000152247261694"
"203","protesting","LABEL","-0.00000167802306192"
"204","72","LABEL","-0.00000221800162937"
"205","excluded","LABEL","-0.00000199682234477"
"206","vaseline","LABEL","0.00000169346470086"
"207","bruhhhh","LABEL","0.0000000273567873036"
"208","tampon","LABEL","-0.00000080088477727"
"209","lmk","LABEL","-0.0000112883643142"
"210","founded","LABEL","-0.0000015426033535"
"211","lynch","LABEL","-0.0000142347818412"
"212","equal","LABEL","0.0000058671332055"
"213","shaggy","LABEL","0.00000517461102871"
"214","spice","LABEL","-0.0000199315579345"
"215","restrictions","LABEL","0.000000689076491842"
"216","ha","LABEL","-0.000051169711612"
"217","reef","LABEL","-0.00000881067088286"
"218","longhorn","LABEL","-0.000000996664324389"
"219","swap","LABEL","-0.00000426756186079"
